AUTHOR
"Goya, Francisco, 1746-1828."
"Greco, 1541?-1614."
"Velázquez, Diego, 1599-1660."
"Nicolás Francés, -1468."
"Ferrer, Jaume, active approximately 1400-1433."
"Daura, Pierre, 1896-1976."
"González Velázquez, Zacarías, 1763-1834."
"Van der Hamen y León, Juan, 1596-1631."
"Ribera, Jusepe de, 1591-1652."
"Zurbarán, Francisco de, 1598-1664."
"Murillo, Bartolomé Esteban, 1617-1682."
"Huguet, Jaime, 1415-"
"Huguet, Jaume, active 1565-1606."
"Mates, Joan, -1585."
"Mates, Joan, active 1391-1431."
"Sorolla, Joaquín, 1863-1923."
"Yáñez de la Almedina, Fernando, approximately 1459-"
"Llanos, Ferrando, active 1505-1520."
"Zuloaga, Ignacio, 1870-1945."
"Udias González, José, 1811-"
"Valdés Leal, Juan de, 1622-1690."
"Valdés, Lucas, 1661-1725."
"Bermejo, Bartolomé."
"Sánchez Coello, Alonso, 1531 or 1532-1588."
"Sánchez de Castro, Juan, active 1454-1484."
"Preboste, Francisco, 1554-approximately 1607."
"Puga, Antonio de, 1602-1648."
"Rico, Martín, 1833-1908."
"Pereda, Antonio de, 1611-1678."
"Picasso, Pablo, 1881-1973."
"Muñoz, Sebastián, approximately 1650-1690."
"Núñez de Villavicencio, Pedro."
"Pantoja de la Cruz, Juan, 1553-1608."
"López, Vicente, 1772-1850."
"Abadía, Juan de la, active 1473-1496."
"Madrazo y Garreta, Raimundo de, 1841-1920."
"Madrazo, José de, 1781-1859."
"Maestro de Alfajarín, active approximately 1470."
"Alcañiz, Miguel, 14th century-15th century."
"Grañén, Blasco de, active 1422-1459."
"Giner, Tomás, -1480."
"Maestro de San Lázaro, active 1520."
"Maestro de Siresa, active 1456."
"Mazo, Juan Bautista Martínez del, approximately 1613-1667."
"Jiménez Aranda, José, 1837-1903."
"Herrera, Francisco de, 1576-1656."
"Herrera, Francisco de, 1627-1685."
"García Mencia, Antonio, 1852-"
"Escalante, Juan Antonio, 1633-1670."
"Esquivel, Antonio María, 1806-1857."
"Esteve, Agustín, 1753-1820?"
"Fortuny, Mariano, 1838-1874."
"Céspedes, Pablo de, 1548-1608."
"Coello, Claudio, 1642-1693."
"Camprobín, Pedro de, 1605-1674."
"Anglada-Camarasa, Hermenegildo, 1871-1959."
"Arteaga y Alfaro, Matías, approximately 1630-1703."
"Bayeu y Subías, Francisco, 1734-1795."
"Beruete, Aureliano de, 1845-1912."
"Lucas, Eugenio, 1817-1870."
"Lucas y Villamil, Eugenio, 1858-1890."
"Abadía, Juan de la, active 1489."
"Maestro de las Predellas, active 15th century."
"Alfaro y Gámez, Juan, 1643-1680."
"Antolínez, José, 1635-1675."
"Ardemans, Teodoro, 1664-1726."
"Arellano, Juan de, 1614-1676."
"Ramírez de Arellano, Juan, approximately 1730-1782."
"Arnaldín, Benito, 14th century-15th century."
"Maestro de Torralba, active 1440."
"Barbasán, Mariano, 1864-1924."
"Bassa, Arnau, active 1350."
"Berruguete, Pedro, 1440-1504."
"Borrassá, Luis, -1426."
"Barceló, Joan, active 1488-1516."
"Barrera, Francisco, active 1625-1657."
"Bausá, Gregorio, 1590-1656."
"Bauzil, Juan, 1766-1820."
"Cano, Alonso, 1601-1667."
"Carreño de Miranda, Juan, 1614-1685."
"Cabezalero, Juan Martín, 1633-1673."
"Castillo, Juan del, Saint, 1596-1628."
"Castillo, Antonio del, 1613?-1668."
"Chacón, Francisco, active 1474."
"Fernández Checa, Ulpiano, 1860-1916."
"Collantes, Francisco, 1599-1656."
"Colom i Agustí, Joan, 1879-1969."
"Cuesta, Guzmán de la, active 1658."
"Dalí, Salvador, 1904-1989."
"Espalargues, Pere, -approximately 1500."
"Espinal, Juan de, 1714-1783."
"García de Miranda, Juan, 1677-1749."
"Herrera Barnuevo, Sebastián de, 1619-1671."
"Hidalgo de Caviedes, Hipólito, 1902-1994."
"Inza, Joaquín, 1736-1811."
"Julià, Asensi, 1748?-1832."
"Juan, de Burgos, active 1430-1450."
"Llanos Valdés, Sebastián de, approximately 1605-1677."
"López Mezquita, José María, 1883-1954."
"López Piquer, Bernardo, 1799-1874."
"Loarte, Alejandro de, -1626."
"Madrazo y Kuntz, Federico de, 1815-1894."
"Maella, Mariano Salvador de, 1739-1819."
"Maeztu, Gustavo de, 1887-1947."
"March, Esteban, 1610-1668."
"Martí y Alsina, Ramón, 1826-1894."
"Maestro de Canapost, active 15th century."
"Maestro de Játiva, active 1490-1515."
"Maestro de Retascón, active approximately 1420."
"Maestro de Riofrío, 15th century-16th century."
"Maestro de Sigena, active approximately 1515-1520."
"Mestre de Soriguerola, active approximately 1275-approximately 1300."
"Maestro de Támara, active 16th century."
"Maestro de Alcira, active 1510-1560."
"Joanes, Joan de, 1523-1579."
"Gutiérrez de la Vega, José, -1865."
"Vergós, Rafael, approximately 1465-approximately 1501."
"Martín-Fernández de la Torre, Néstor, 1887-1938."
"Rodríguez, Juan, -1544."
"Mesa, Juan de, 1583-1627."
"Antolín, Antonio, active 18th century."
"Marzal de Sas, Andrés, active 1390-1410."
"Master of Belmonte, active approximately 1445-1490."
"Castro, Bartolomé, -1507."
"Burgunya, Joan de, -1526."
"Borgoña, Juan de, approximately 1500-1565."
"Juan, de Flandes, approximately 1465-1519."
"Juan, de Flandes, active approximately 1550."
"Meléndez, Luis, 1716-1780."
"Orrente, Pedro, 1580-1645."
"Márquez, Esteban, 1652-1696."
"March Marco, Vicente, 1859-1914."
"Pérez, Bartolomé, 1634-1693."
"Roig Soler, Joan, 1852-1909."
"Romero, Juan Bautista, 1756-"
"Soria, Martín de, active 1449-1487."
"Domingo y Marqués, Francisco José, 1842-1920."
"Morales, Luis de, active 16th century."
"Sarría, Gonçal Peris de, approximately 1380-1451."
"Reyna Manescau, Antonio María de, 1859-1937."
"Rodríguez de Guzmán, Manuel, 1818-1867."
"Ruiz de la Iglesia, Francisco Ignacio, 1649-1704."
"Sánchez Perrier, Emilio, 1855-1907."
"González Velázquez, Antonio, 1723-1792."
"Zamacois Zabala, Eduardo, 1841-1871."
"Zahortiga, Bonanat, active 15th century."
"Gallego, Fernando, approximately 1440-approximately 1507."
"Fernández, Juan, active 1429."
"González Sevilla, Joan, 1894-1977."
"Sevilla, Juan de, active approximately 1400-1465."
"Sevilla, Juan de, 1643-1695."
"Maestro de Avila, active 1465-1476."
"Master Fruchel, active 12th century."
"Master of the Claveles, active 15th century."
"Maestro de Jaca, active 13th century."
"Borès, Francisco, 1898-1972."
"García Hidalgo, José, 1646-1717."
"Valls, Domènec, active 1366-1398."
"Astorga Neira, Juan B."
"Jaraba Jiménez, Enrique, 1871-1926."
"Hiepes, Tomás, approximately 1600-1674."
"Ioannes Ispanus, active 15th century-16th century."
"Falcó, Nicolás, active 1515-1560."
"Fuxá y Leal, Manuel, 1850-1927."
"Alvarez Laviada, Manuel, 1894-1958."
"Bellver y Collazos, José, 1824-1869."
"Bellver y Ramón, Ricardo, 1845-1924."
"Bellver Ferriol, Manuel, active 1894."
"Bellver y Collazos, Francisco, 1812-1890."
"Balaca y Carrión, José, 1810-1869."
"Carrión, Juan de, active 1470."
"Carrión, Domingo de, approximately 1585 or 1595-"
"Carrión Valverde, Antonio, active 1862."
"Pérez de Carrión, Antón, active approximately 1274-approximately 1293."
"Ametller, Blas, 1768-1841."
"Ayala, Bernabé de, approximately 1600-1672."
"Guezala y Ayrivié, Antonio de, 1889-1956."
"Palomino, Juan Bernabé, 1692-1777."
"Espinosa, Carlos, 1750-"
"Espinosa, Jerónimo Jacinto de, 1600-1667."
"Espinosa, Juan Bautista, approximately 1625-"
"Espinosa, Juan Bautista, approximately 1590-"
"Espinosa, Miguel de, 1510 or 1511-"
"Espinosa, Miguel de, active 1654."
"Espinosa de Castro, Jacinto, approximately 1631-1707."
