WNAM,FEM
"Abarca, María de",y
"Aguirre del Castillo, María Teresa",Y
"Alberich Escardívol, Montserrat (or Monserrat)",y
"Albert Paradís, Catalina",Y
"Alcayde Montoya, Julia",Y
"Altisent, Aurora",Y
"Alvarez Coll, Miquelina",Y
"Alvear Fernández, Luz de",Y
"Amatller Cros, Teresa",Y
"Anguera Llovera, Andrea Avelina",Y
"Antón, Remedios Carmen",Y
"Ara Sarradell, María",Y
"Aramendía de San Segundo, María Victoria",Y
"Aranda, Pilar",Y
"Arangoa y Figueroa, Inocencia",y
"Arregui, Romana",y
"Arrúe Calvo, Resurrección",Y
"Arsalaguet Comas, María Rosa",Y
"Avia, Amalia",Y
"Bañuelos, Antonia de (Marquesa de Alcedo)",Y
"Baquero y Rosado, Isabel",Y
"Bardasano, Juana Francisca de",Y
"Bartolozzi Sánchez, Francis",y
"Bassas Carrera, Montserrat",Y
"Bazo Cunchillos, Adela",Y
"Bedós García-Ciaño, María Teresa",y
"Blanchard, María",Y
"Bonay, Federica",y
"Botet Mundi, Luisa (or Lluïsa)",y
"Brockmann, Elena",y
"Cala, Amalia de la",y
"Camarón, Elena",y
"Cardona, María de",y
"Casanova Puigserinall, Montserrat",y
"Castillo Nicolau, María Eulalia del",y
"Castillo y Díaz, Carolina",y
"Cerda, Ha. de la",Y
"Cirici, María",Y
"Clar, Tina",y
"Clará, Arcisa",Y
"Collis Ammirato, María",Y
"Condeminas Soler, Teresa",Y
"Coranty de Guasch, Emilia",y
"Corredoyra y Ruíz de Baro, María del Carmen",Y
"Cortés Lledó, Carme",Y
"Cortés, Amparo",y
"Costa Pujol, Joaquima (or Joaquina)",Y
"Cubero, Eloísa",Y
"Dans, María Antonia",y
"Davit, Susana (or Suzanne)",Y
"Daza, Milagros (or Milagro)",y
"Delsors Mangrané, Manuela",y
"Díez, Teresa",y
"Droc, María",Y
"Durán, Francisca de Paula",y
Ende,Y
"Escuder Alarcón, Helia",Y
"Fábregas Puig, Teresa",y
"Fargas, Montserrat",y
"Farrés Andrés, Teresa",y
"Fereal, Carlota",Y
"Fernández de Guigo, Eva",Y
"Fernández Martín, Trinidad",Y
"Ferres Puig, María",y
"Fiter de Sarriera, María",Y
"Folch Solé, Magda",y
"Francés y Arribas, Fernanda",y
"Francés, Juana Concepción",y
"Frau, Margarita",y
"Fuente Alonso, María Victoria de la",y
"Galí Mallofré, Gertrudis",Y
"Gallego, Concha",Y
"Gálvez, Mariana de",y
"Gámez, Luisa",Y
"Garay de Flórez, Elisa",Y
"Garcés de Marcilla, Inés",Y
"García Alsina, María",y
"García de Arredondo, Carmen",Y
"García de Giner, Laura",Y
"García de Giralt, María",y
"García de la Cruz, Encarnación",y
"García de Michelena, Amalia",Y
"García Ramos, Dolores",Y
"García Valenzuela, María Josefa",y
"García, Adela",y
"García, Carolina",Y
"García, Francesca (or Francisca)",y
"García, Josefa",Y
"García, Juana",Y
"García, Julia",Y
"Garnelo y Aparicio, Eloísa",Y
"Garrido y Agudo, María de la Soledad",y
"Garvey de San Juan, María",Y
"Gasset Ros, Lidia",Y
"Gassó y Vidal, Leopolda",Y
"Gasull, María",y
"Gatuellas Ferrer, María",Y
"Gerino, Rosalía",Y
"Gessler Shaw, Alejandrina",Y
"Gil Sanz Arévalo, Teresa",Y
"Gil, Catalina",Y
"Gilabert, María Lucía",y
"Gilarte, Magdalena",y
"Ginés y Ortiz, Adela",Y
"Gironella Escuder, Matilde",Y
"Gisbert, J.G.",y
"Gispert Sandoval, Elia",y
"Godoy, Elisa",Y
"Gómez Astorga, Concepción",Y
"Gómez Cotolí, María",Y
"Gómez de la Cortina, Joaquina",Y
"Gómez Montaner, Encarnació",y
"Gómez, Antonia",Y
"Gómez, Guillermina",Y
"Gonnella Griore, Adela",y
"Gonzalbo Murillo, Fe",Y
"González de Menchaca, Petronila",y
"González Martínez, Concepción",Y
"González Rodríguez, Dolores",y
"González Valls, Inés",y
"González Vilart, Angeles",Y
"González, Roberta",Y
"Gorgas de Martínez, Francesca (or Francisca)",y
"Gorgas, Aurora",y
"Gosch Boix, Mercè (or Mercedes)",y
"Gosé Galí, Dolors (or Dolores)",y
"Goyena, Manuela",Y
"Gradoli, Josefa",Y
"Grases, Eulalia",Y
"Gresa Camps, Rosa",Y
"Güell López, Maria Lluïsa (or María Luisa)",Y
"Gumucio y Grinda, Josefa",y
"Gusí Viladoms de Homedes, Maria Mercè",y
"Gutiérrez Larraya, Aurora",Y
"Gutiérrez, María de los Dolores",Y
"Halcón, María de los Dolores",Y
"Haro, Dolores de",Y
"Hermoso, Filomena",Y
"Hernández de Alba y Ferrer, Emilia",Y
"Hernández de Terán, Olimpia",Y
"Hernández Moyano, María Dolores",Y
"Hernández, Filomena",Y
"Herrera y Cores, Dolores",Y
"Hidalgo, María",y
"Huarte de Mendicoa, Mariana",y
"Hueva, Bárbara María",Y
"Ibáñez de la Rentería, María Ramona",y
"Illing Trumpke, Eva",y
"Irangoa, Inocencia",Y
"Isabel (or Isabella) Farnese (Reina de España), [S.M.] (Doña)",y
"Izquierdo, Elena",y
"Janer y Ferrant, María Nieves",Y
"Jiménez de la Plata, Josefa",Y
"Jiménez, María Paz (or Mari Paz)",y
"Ladrón de Guevara, ?",Y
"Laffite y Grande, Honorina",Y
"Laiglesia de Gamero, Dolores",Y
"Laiglesia, Amelia R. de",Y
"Lamas y Cuadrado, Asunción",Y
"Lambla, Fany",Y
"Lárraga, Josefa María (or Josepha María)",y
"Laurens Pardo, Margarita",y
"Legísima, Carmen de",y
"Leigonier, Enriqueta",Y
"Lengo, Clara",y
"Lerdo de Tejada, Mercedes",Y
"Leroux de Pérez Comendador, Magdalena",y
"Leza y Agort, Irene",Y
"Lezcano Saracho, Aurora (Marquesa de O'Reilly (or O'Reille))",y
"Llimona Benet, Maria",y
"López Cancio, Mariana",y
"López Castrillo, Flora",y
"López del Baño y Diosdado, Josefa",Y
"López Díaz, María",Y
"López Fernández, Julia",Y
"López González, Luisa",Y
"López Ortíz, Clementina",Y
"López Salzillo, Emilia",Y
"López San Román, Romana",Y
"López, María",Y
"Lorenzo y González, Matilde",Y
"Lostau Espinet, Teresa",Y
"Lozano Capellán de Casado, Mercedes",Y
"Luna, Petra",Y
"Madasín, Teresa",Y
"Mallo, Maruja",y
"Manso y Chaves, Bernarda (Marquesa de la Lapilla y Monasterio (or Monesterio))",y
"María Cristina de Borbón (Reina de España), [S.M.] (Doña)",y
"María Francisca de Braganza (Infanta de Portugal y España), [S.A.R.] (Doña)",y
"María Luisa de Borbón (Reina de España), [S.M.] (Doña)",y
"Martí Sancho, Maria",y
"Martín de Campo, Victoria",y
"Martínez Aledo, Luisa J.",y
"Martínez, Soledad",y
"Matilla Alonso, Nicanora",Y
"Maurer, Juana",y
"Mayans y Pastor, Josefa (or Josepha)",y
"Mayor de González, Dolores",Y
"Medina Castro, Elvira",y
"Medina, Antonia",Y
"Meléndez y Durazzo, Francisca Efigenia",y
"Meléndez, Ana (or Ane)",y
"Mena y Bitoria, Andrea",y
"Mena y Bitoria, Claudia",y
"Menassade, Emilia (or Emile, or Emilie)",Y
"Mendeville de Flórez, María",Y
"Mexía y Sales, Casilda",Y
"Michel, Bibiana",Y
"Milla, Josefa",Y
"Millán Alosete, Paula",y
"Millán Pérez, Milagros",Y
"Millioud Grand Pierre, Eugènia",Y
"Miñano y Ramírez, María Eugenia de",Y
"Mínguez Rico, Angela",Y
"Minguillón Iglesias, Julia",y
