WNAM,SCHN
"Abarca, María de",Aragon; Madrid
"Aguirre del Castillo, María Teresa",Basque Country
"Alberich Escardívol, Montserrat (or Monserrat)",Barcelona
"Albert Paradís, Catalina",Catalonia
"Alcayde Montoya, Julia",Madrid
"Altisent, Aurora",Barcelona
"Alvarez Coll, Miquelina",Barcelona
"Alvear Fernández, Luz de",Santander
"Amatller Cros, Teresa",[n.r.]
"Anguera Llovera, Andrea Avelina",Barcelona; Valencia
"Antón, Remedios Carmen",Murcia
"Ara Sarradell, María",Barcelona
"Aramendía de San Segundo, María Victoria",Basque Country
"Aranda, Pilar",Saragossa; Catalonia
"Arangoa y Figueroa, Inocencia",Basque Country; Oviedo; Madrid
"Arregui, Romana",Bilbao
"Arrúe Calvo, Resurrección",Basque Country
"Arsalaguet Comas, María Rosa",Barcelona
"Avia, Amalia",Madrid
"Bañuelos, Antonia de (Marquesa de Alcedo)",[n.r.]
"Baquero y Rosado, Isabel",Madrid
"Bardasano, Juana Francisca de",[n.r.]
"Bartolozzi Sánchez, Francis",Pamplona
"Bassas Carrera, Montserrat",Barcelona
"Bazo Cunchillos, Adela",Navarre
"Bedós García-Ciaño, María Teresa",Catalonia
"Blanchard, María",Madrid
"Bonay, Federica",Barcelona
"Botet Mundi, Luisa (or Lluïsa)",Catalonia
"Brockmann, Elena",Madrid
"Cala, Amalia de la",Cádiz
"Camarón, Elena",Madrid
"Cardona, María de",[Madrid]
"Casanova Puigserinall, Montserrat",Catalonia
"Castillo Nicolau, María Eulalia del",Barcelona
"Castillo y Díaz, Carolina",Gijón
"Cerda, Ha. de la",[n.r.]
"Cirici, María",Barcelona
"Clar, Tina",Balearic Islands
"Clará, Arcisa",Barcelona
"Collis Ammirato, María",[n.r.]
"Condeminas Soler, Teresa",Barcelona
"Coranty de Guasch, Emilia",Barcelona
"Corredoyra y Ruíz de Baro, María del Carmen",La Coruña
"Cortés Lledó, Carme",Barcelona
"Cortés, Amparo",[n.r.]
"Costa Pujol, Joaquima (or Joaquina)",Barcelona
"Cubero, Eloísa",[n.r.]
"Dans, María Antonia",La Coruña; Madrid
"Davit, Susana (or Suzanne)",Barcelona
"Daza, Milagros (or Milagro)",Madrid
"Delsors Mangrané, Manuela",Barcelona
"Díez, Teresa",Castile-Leon
"Droc, María",Madrid
"Durán, Francisca de Paula",Madrid; Saragossa
Ende,León
"Escuder Alarcón, Helia",Madrid
"Fábregas Puig, Teresa",Barcelona
"Fargas, Montserrat",Barcelona
"Farrés Andrés, Teresa",Barcelona
"Fereal, Carlota",Madrid and Barcelona
"Fernández de Guigo, Eva",Canary Islands
"Fernández Martín, Trinidad",Asturias
"Ferres Puig, María",Barcelona
"Fiter de Sarriera, María",Barcelona
"Folch Solé, Magda",Catalonia
"Francés y Arribas, Fernanda",Valencia
"Francés, Juana Concepción","Alicante, Valencia"
"Frau, Margarita",Galicia; Madrid
"Fuente Alonso, María Victoria de la",Madrid
"Galí Mallofré, Gertrudis",Catalonia
"Gallego, Concha",Córdoba
"Gálvez, Mariana de",
"Gámez, Luisa",Madrid
"Garay de Flórez, Elisa",Madrid
"Garcés de Marcilla, Inés",Valencia
"García Alsina, María",Barcelona
"García de Arredondo, Carmen",Madrid
"García de Giner, Laura",Andalusia
"García de Giralt, María",Barcelona
"García de la Cruz, Encarnación",Cantabria
"García de Michelena, Amalia",Andalusia
"García Ramos, Dolores",Madrid
"García Valenzuela, María Josefa",Jaén; Basque Country
"García, Adela",Castile
"García, Carolina",Basque Country
"García, Francesca (or Francisca)",Barcelona
"García, Josefa",Basque Country
"García, Juana",Basque Country
"García, Julia",Andalusia
"Garnelo y Aparicio, Eloísa",Valencia
"Garrido y Agudo, María de la Soledad",Salamanca and Madrid
"Garvey de San Juan, María",Cádiz; Madrid
"Gasset Ros, Lidia",Barcelona
"Gassó y Vidal, Leopolda",Madrid
"Gasull, María",Barcelona
"Gatuellas Ferrer, María",Barcelona
"Gerino, Rosalía",Madrid
"Gessler Shaw, Alejandrina",Cádiz
"Gil Sanz Arévalo, Teresa",Madrid
"Gil, Catalina",
"Gilabert, María Lucía",Madrid
"Gilarte, Magdalena",Toledo
"Ginés y Ortiz, Adela",Madrid
"Gironella Escuder, Matilde",Barcelona
"Gisbert, J.G.",Barcelona
"Gispert Sandoval, Elia",Barcelona
"Godoy, Elisa",Cádiz
"Gómez Astorga, Concepción",Málaga
"Gómez Cotolí, María",Valencia
"Gómez de la Cortina, Joaquina",Seville
"Gómez Montaner, Encarnació",Barcelona
"Gómez, Antonia",Cádiz
"Gómez, Guillermina",Barcelona
"Gonnella Griore, Adela",Barcelona
"Gonzalbo Murillo, Fe",Barcelona
"González de Menchaca, Petronila",Madrid
"González Martínez, Concepción",Madrid
"González Rodríguez, Dolores",
"González Valls, Inés",Valencia
"González Vilart, Angeles",Barcelona
"González, Roberta",
"Gorgas de Martínez, Francesca (or Francisca)",Barcelona
"Gorgas, Aurora",Barcelona
"Gosch Boix, Mercè (or Mercedes)",Barcelona
"Gosé Galí, Dolors (or Dolores)",Barcelona
"Goyena, Manuela",Valencia
"Gradoli, Josefa",Balearic Islands
"Grases, Eulalia",Catalonia
"Gresa Camps, Rosa",Barcelona
"Güell López, Maria Lluïsa (or María Luisa)",Barcelona
"Gumucio y Grinda, Josefa",Granada
"Gusí Viladoms de Homedes, Maria Mercè",Barcelona
"Gutiérrez Larraya, Aurora",Madrid
"Gutiérrez, María de los Dolores",Seville
"Halcón, María de los Dolores",Seville
"Haro, Dolores de",Madrid
"Hermoso, Filomena",Seville
"Hernández de Alba y Ferrer, Emilia",Valencia
"Hernández de Terán, Olimpia",Madrid
"Hernández Moyano, María Dolores",Seville
"Hernández, Filomena",Zamora; Madrid
"Herrera y Cores, Dolores",Seville
"Hidalgo, María",
