RN,FRECN,ALT,authority,search,authimport
1,1,"Alarma, Salvador","Alarma Tastás, Salvador","Alarma, Salvador;  Alarma Tastás, Salvador","Alarma Tastás, Salvador"
2,1,"Tastás, Salvador Alarma*","Alarma Tastás, Salvador","Tastás, Salvador Alarma*;  Alarma Tastás, Salvador","Alarma Tastás, Salvador"
23,10,"Aburto Renovales, Rafael de","Aburto, Rafael","Aburto Renovales, Rafael de;  Aburto, Rafael","Aburto, Rafael"
24,10,"Abusto Renodales, Rafael","Aburto, Rafael","Abusto Renodales, Rafael;  Aburto, Rafael","Aburto, Rafael"
25,10,"Renovales, Rafael Aburto*","Aburto, Rafael","Renovales, Rafael Aburto*;  Aburto, Rafael","Aburto, Rafael"
189,100,"Alvarez, Lorenzo","Suárez, Lorenzo","Alvarez, Lorenzo;  Suárez, Lorenzo","Suárez, Lorenzo"
190,100,"Juárez, Lorenzo","Suárez, Lorenzo","Juárez, Lorenzo;  Suárez, Lorenzo","Suárez, Lorenzo"
1981,1001,"Baqué, Santiago Costa*","Costa Baqué, Santiago","Baqué, Santiago Costa*;  Costa Baqué, Santiago","Costa Baqué, Santiago"
1982,1001,"Costa, Santiago","Costa Baqué, Santiago","Costa, Santiago;  Costa Baqué, Santiago","Costa Baqué, Santiago"
1983,1001,"Costa Vaqué, Jaume","Costa Baqué, Santiago","Costa Vaqué, Jaume;  Costa Baqué, Santiago","Costa Baqué, Santiago"
1984,1001,"Costa Vaqué, Santiago","Costa Baqué, Santiago","Costa Vaqué, Santiago;  Costa Baqué, Santiago","Costa Baqué, Santiago"
1985,1002,"Pujol, Joaquima Costa*","Costa Pujol, Joaquima (or Joaquina)","Pujol, Joaquima Costa*;  Costa Pujol, Joaquima (or Joaquina)","Costa Pujol, Joaquima (or Joaquina)"
1986,1003,"Segura, Miquel Costa*","Costa Segura, Miquel (or Miguel)","Segura, Miquel Costa*;  Costa Segura, Miquel (or Miguel)","Costa Segura, Miquel (or Miguel)"
1987,1004,Solé. Josep Costa*,"Costa Solé, Josep (or José)","Solé. Josep Costa*;  Costa Solé, Josep (or José)","Costa Solé, Josep (or José)"
1988,1005,"Chacel, Emilio Cotter*","Cotter, Emilio","Chacel, Emilio Cotter*;  Cotter, Emilio","Cotter, Emilio"
1989,1005,"Cotter Chacel, Emilio","Cotter, Emilio","Cotter Chacel, Emilio;  Cotter, Emilio","Cotter, Emilio"
1990,1006,"Cristóbal González Quesada, Juan","Cristóbal, Juan","Cristóbal González Quesada, Juan;  Cristóbal, Juan","Cristóbal, Juan"
1991,1006,"González Quesada, Juan Cristóbal","Cristóbal, Juan","González Quesada, Juan Cristóbal;  Cristóbal, Juan","Cristóbal, Juan"
1992,1006,"Quesada, Juan Cristóbal González*","Cristóbal, Juan","Quesada, Juan Cristóbal González*;  Cristóbal, Juan","Cristóbal, Juan"
1993,1007,"Cristòfol Peralta, Leandre","Cristòfol, Leandre (or Leandro)","Cristòfol Peralta, Leandre;  Cristòfol, Leandre (or Leandro)","Cristòfol, Leandre (or Leandro)"
1994,1007,"Cristòfol (i) Peralba, Leandre","Cristòfol, Leandre (or Leandro)","Cristòfol (i) Peralba, Leandre;  Cristòfol, Leandre (or Leandro)","Cristòfol, Leandre (or Leandro)"
1995,1007,"Peralba, Leandre Cristòfol*","Cristòfol, Leandre (or Leandro)","Peralba, Leandre Cristòfol*;  Cristòfol, Leandre (or Leandro)","Cristòfol, Leandre (or Leandro)"
1996,1008,"Cotto, Pedro (O.)","Cotto, Pedro Onofre","Cotto, Pedro (O.);  Cotto, Pedro Onofre","Cotto, Pedro Onofre"
1997,1008,"Escoto, Pedro","Cotto, Pedro Onofre","Escoto, Pedro;  Cotto, Pedro Onofre","Cotto, Pedro Onofre"
1998,1009,"Collado, Antonio de la Cruz*","Cruz Collado, Antonio de la","Collado, Antonio de la Cruz*;  Cruz Collado, Antonio de la","Cruz Collado, Antonio de la"
191,101,"Ajuria, Matías Alvarez*","Alvarez Ajuria, Matías","Ajuria, Matías Alvarez*;  Alvarez Ajuria, Matías","Alvarez Ajuria, Matías"
1999,1010,"Cruz Herrera, José-Herrerilla","Cruz Herrera, José","Cruz Herrera, José-Herrerilla;  Cruz Herrera, José","Cruz Herrera, José"
2000,1010,"Herrera, José Cruz*","Cruz Herrera, José","Herrera, José Cruz*;  Cruz Herrera, José","Cruz Herrera, José"
2001,1011,"Martín, Miguel de la Cruz*","Cruz Martín, Miguel de la","Martín, Miguel de la Cruz*;  Cruz Martín, Miguel de la","Cruz Martín, Miguel de la"
2002,1012,"Canario, El (pseud.)","Cruz y Ríos, Luis de la","Canario, El (pseud.);  Cruz y Ríos, Luis de la","Cruz y Ríos, Luis de la"
2003,1012,"La Cruz y Ríos, Luis de","Cruz y Ríos, Luis de la","La Cruz y Ríos, Luis de;  Cruz y Ríos, Luis de la","Cruz y Ríos, Luis de la"
2004,1012,"Ríos, Luis de la Cruz*","Cruz y Ríos, Luis de la","Ríos, Luis de la Cruz*;  Cruz y Ríos, Luis de la","Cruz y Ríos, Luis de la"
2005,1014,"Collaut Valera, Lorenzo","Coullaut Valera, Lorenzo","Collaut Valera, Lorenzo;  Coullaut Valera, Lorenzo","Coullaut Valera, Lorenzo"
2006,1014,"Coullat Valera, Lorenzo","Coullaut Valera, Lorenzo","Coullat Valera, Lorenzo;  Coullaut Valera, Lorenzo","Coullaut Valera, Lorenzo"
2007,1014,"Valera, Lorenzo Coullaut*","Coullaut Valera, Lorenzo","Valera, Lorenzo Coullaut*;  Coullaut Valera, Lorenzo","Coullaut Valera, Lorenzo"
