RN,WNAM,,LCN,FRESCOSH,BDATN,BQN,BQEN,BDQN,DDATN,DQN,DQEN,DDQN,OPRN,OQN,OOQN,WDATES,SDATN,SDAT2N,CENN,CNUMN,SCHN,NSCHP,CLNON,MEDN,NBN,UDATN,FEM,CLN,UNCLN,SUPN,STAMPN,UPN,teaser,SORTNAME,FirstLetter,SEARCH,alts,holdings,bestname,,recid,notes,earliestdate,latestdate,latest,earliest,problem,teasterweb,event,more,teasterweb2,,,
2296,"Abarca, María de",,"Abarca, María de, active 1640-approximately 1656",,,,,,1656,m.c.,,m.c.1656,1640,op.,op.1640,op.1640-m.c.1656,1640,1640,,,Aragon; Madrid,Spanish,800,,Also known as a poet.,,y,,,,MB |D 1992 01 22 |T 13:16:05,MB |D 1992 01 22 |T 13:16:05,Also known as a poet...,"Abarca, María de",A,"Abarca, María de Abarca, Francisca de","Abarca, Francisca de",,"Abarca, María de, active 1640-approximately 1656",,5,Aragon; Madrid. Also known as a poet.,1640,1656,1656,1640,,Also known as a poet... &lt;a href='../montias/browserecord.php?-action=browse&amp;-recid=5'&gt;more...&lt;/a&gt;,"<event start='1640' end='1656' isDuration='true' title='Abarca, María de' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>op.1640-m.c.1656; Aragon; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=5'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=5'&gt;more...&lt;/a&gt;,op.1640-m.c.1656; Aragon; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=5,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=5</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
88,"Aguirre del Castillo, María Teresa",,"Aguirre del Castillo, María Teresa, 1912-1953",,1912,,,1912,1953,,,1953,,,,1912-1953,1912,1912,,,Basque Country,Spanish,800,,,,Y,0,0,0,MJO |D 1989 07 13 |T 16:37:59,FMA |D 1992 04 16 |T 07:36:33,,"Aguirre del Castillo, María Teresa",A,"Aguirre del Castillo, María Teresa Castillo, María Teresa Aguirre del*","Castillo, María Teresa Aguirre del*",0,"Aguirre del Castillo, María Teresa, 1912-1953",,67,Basque Country. ,1912,1953,1953,1912,,,"<event start='1912' end='1953' isDuration='true' title='Aguirre del Castillo, María Teresa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1912-1953; Basque Country  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=67'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=67'&gt;more...&lt;/a&gt;,1912-1953; Basque Country,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=67,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=67</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
1800,"Alberich Escardívol, Montserrat (or Monserrat)",,"Alberich Escardívol, Montserrat, 1912-",,1912,n.,,n.1912,,,,,1946,exh.,exh.1946,n.1912-exh.1946,1912,1912,,,Barcelona,Spanish,800,Painter and printmaker,,,y,,,,IMS |D 1991 03 21 |T 12:38:12,IR |D 1991 04 09 |T 09:05:50,,"Alberich Escardívol, Montserrat (or Monserrat)",A,"Alberich Escardívol, Montserrat (or Monserrat) Alberich Escadívol, Montserrat","Alberich Escadívol, Montserrat",,"Alberich Escardívol, Montserrat, 1912-",,98,Barcelona. ,1912,1946,1946,1912,,,"<event start='1912' end='1946' isDuration='true' title='Alberich Escardívol, Montserrat (or Monserrat)' classname='Painter and printmaker' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1912-exh.1946; Painter and printmaker; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=98'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=98'&gt;more...&lt;/a&gt;,n.1912-exh.1946; Painter and printmaker; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=98,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=98</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
59,"Albert Paradís, Catalina",,"Catalá, Víctor, 1869-1966",,1873,,,1873,1966,,,1966,,,,1873-1966,1873,1873,,,Catalonia,Spanish,800,"Painter, sculptor, and illustrator",Also known as an author.,,Y,0,0,0,MJO |D 1989 06 21 |T 15:48:31,JEFF |D 1996 06 26 |T 13:44:03,Also known as an author...,"Albert Paradís, Catalina",A,"Albert Paradís, Catalina Albert (i) Paradís, Caterina","Albert (i) Paradís, Caterina",0,"Catalá, Víctor, 1869-1966",,99,Catalonia. Also known as an author.,1873,1966,1966,1873,,Also known as an author... &lt;a href='../montias/browserecord.php?-action=browse&amp;-recid=99'&gt;more...&lt;/a&gt;,"<event start='1873' end='1966' isDuration='true' title='Albert Paradís, Catalina' classname='Painter, sculptor, and illustrator' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1873-1966; Painter, sculptor, and illustrator; Catalonia  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=99'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=99'&gt;more...&lt;/a&gt;,"1873-1966; Painter, sculptor, and illustrator; Catalonia",http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=99,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=99</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
64,"Alcayde Montoya, Julia",,"Alcayde Montoya, Julia, 1855-1939",,1855,,,1855,1939,,,1939,,,,1855-1939,1855,1855,,,Madrid,Spanish,800,,,,Y,0,0,2,MJO |D 1989 06 22 |T 13:01:29,JEFF |D 1996 06 26 |T 11:24:36,,"Alcayde Montoya, Julia",A,"Alcayde Montoya, Julia Alcaide, Julia","Alcaide, Julia",2,"Alcayde Montoya, Julia, 1855-1939",,117,Madrid. ,1855,1939,1939,1855,,,"<event start='1855' end='1939' isDuration='true' title='Alcayde Montoya, Julia' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1855-1939; Madrid  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=117'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=117'&gt;more...&lt;/a&gt;,1855-1939; Madrid,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=117,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=117</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
5006,"Altisent, Aurora",,"Altisent, Aurora",,1929,n.,,n.1929,,,,,1992],[doc.,[doc.1992],n.1929-[doc.1992],1929,1929,,,Barcelona,Spanish,800,,,,Y,0,0,1,MJO |D 1989 07 14 |T 16:57:16,FMA |D 1991 04 08 |T 11:21:10,,"Altisent, Aurora",A,"Altisent, Aurora Altisend, Aurora","Altisend, Aurora",1,"Altisent, Aurora",,185,Barcelona. ,1929,992,1992,1929,,,"<event start='1929' end='1992' isDuration='true' title='Altisent, Aurora' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1929-[doc.1992]; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=185'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=185'&gt;more...&lt;/a&gt;,n.1929-[doc.1992]; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=185,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=185</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
106,"Alvarez Coll, Miquelina",,"Alvarez Coll, Miquelina, active 20th century",,,,,,,,,,1934,exh.,exh.1934,exh.1934,1934,1934,,,Barcelona,Spanish,800,Watercolorist,,,Y,0,0,0,MJO |D 1989 07 20 |T 12:01:16,MPP |D 1996 08 12 |T 16:04:06,,"Alvarez Coll, Miquelina",A,"Alvarez Coll, Miquelina Coll, Miquelina Alvarez*","Coll, Miquelina Alvarez*",0,"Alvarez Coll, Miquelina, active 20th century",,195,Barcelona. ,1934,1934,1934,1934,,,"<event start='1934' end='1934' isDuration='true' title='Alvarez Coll, Miquelina' classname='Watercolorist' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>exh.1934; Watercolorist; Barcelona  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=195'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=195'&gt;more...&lt;/a&gt;,exh.1934; Watercolorist; Barcelona,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=195,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=195</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
2430,"Alvear Fernández, Luz de",,"Alvear Fernández, Luz de, 1929-",,1929,n.,,n.1929,,,,,1972,exh.,exh.1972,n.1929-exh.1972,1929,1929,,,Santander,Spanish,800,,"Born in Spain, but has lived and worked in Argentina.",,Y,,,,MB |D 1992 02 04 |T 16:21:34,MB |D 1992 02 04 |T 16:21:34,"Born in Spain, but has lived and worked in Argentina...","Alvear Fernández, Luz de",A,"Alvear Fernández, Luz de Alvear, Luz (de)","Alvear, Luz (de)",,"Alvear Fernández, Luz de, 1929-",,220,"Santander. Born in Spain, but has lived and worked in Argentina.",1929,1972,1972,1929,,"Born in Spain, but has lived and worked in Argentina... &lt;a href='../montias/browserecord.php?-action=browse&amp;-recid=220'&gt;more...&lt;/a&gt;","<event start='1929' end='1972' isDuration='true' title='Alvear Fernández, Luz de' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1929-exh.1972; Santander  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=220'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=220'&gt;more...&lt;/a&gt;,n.1929-exh.1972; Santander,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=220,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=220</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
155,"Amatller Cros, Teresa",,"Amatller Cros, Teresa, 1873-1969",,1873,,,1873,1969,,,1969,,,,1873-1969,1873,1873,,,[n.r.],Spanish,800,,Also known as a collector.,,Y,0,0,1,MPI |D 1989 08 02 |T 10:10:34,JEFF |D 1996 06 26 |T 13:50:58,Also known as a collector...,"Amatller Cros, Teresa",A,"Amatller Cros, Teresa Cros, Teresa Amatller*","Cros, Teresa Amatller*",1,"Amatller Cros, Teresa, 1873-1969",,230,[n.r.]. Also known as a collector.,1873,1969,1969,1873,,Also known as a collector... &lt;a href='../montias/browserecord.php?-action=browse&amp;-recid=230'&gt;more...&lt;/a&gt;,"<event start='1873' end='1969' isDuration='true' title='Amatller Cros, Teresa' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>1873-1969; [n.r.]  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=230'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=230'&gt;more...&lt;/a&gt;,1873-1969; [n.r.],http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=230,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=230</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
2311,"Anguera Llovera, Andrea Avelina",,"Anguera Llovera, Andrea Avelina, 1916-",,1916,n.,,n.1916,,,,,1975,exh.,exh.1975,n.1916-exh.1975,1916,1916,,,Barcelona; Valencia,Spanish,800,Painter and sculptor,,,Y,,,,SME |D 1992 02 03 |T 15:02:16,SME |D 1992 02 03 |T 15:02:16,,"Anguera Llovera, Andrea Avelina",A,"Anguera Llovera, Andrea Avelina Llovera, Andrea Avelina Anguera*","Llovera, Andrea Avelina Anguera*",,"Anguera Llovera, Andrea Avelina, 1916-",,290,Barcelona; Valencia. ,1916,1975,1975,1916,,,"<event start='1916' end='1975' isDuration='true' title='Anguera Llovera, Andrea Avelina' classname='Painter and sculptor' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1916-exh.1975; Painter and sculptor; Barcelona; Valencia  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=290'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=290'&gt;more...&lt;/a&gt;,n.1916-exh.1975; Painter and sculptor; Barcelona; Valencia,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=290,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=290</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
4720,"Antón, Remedios Carmen",,"Antón, Remedios Carmen, 1925-",,1925,n.,,n.1925,,,,,1951,exh.,exh.1951,n.1925-exh.1951,1925,1925,,,Murcia,Spanish,800,,,,Y,0,0,0,MJO |D 1989 07 26 |T 15:50:07,FMA |D 1990 10 17 |T 09:17:57,,"Antón, Remedios Carmen",A,"Antón, Remedios Carmen Antón, Remedios","Antón, Remedios",0,"Antón, Remedios Carmen, 1925-",,301,Murcia. ,1925,1951,1951,1925,,,"<event start='1925' end='1951' isDuration='true' title='Antón, Remedios Carmen' classname='' image='../spanish/images/thumbs/' color='#CCCCCC' textColor='#000000'>n.1925-exh.1951; Murcia  &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=301'&gt;more...&lt;/a&gt;</event>", &lt;a href='../spanish/browserecord.php?-action=browse&amp;-recid=301'&gt;more...&lt;/a&gt;,n.1925-exh.1951; Murcia,http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=301,<url><loc>http://research.frick.org/spanish/browserecord.php?-action=browse&amp;-recid=301</loc><lastmod>2011-10-28T19:15:18+00:00</lastmod><changefreq>daily</changefreq><priority>0.50</priority></url>,
