"Alberich Escardívol, Montserrat (or Monserrat)",1946
"Alvarez Coll, Miquelina",1934
"Alvear Fernández, Luz de",1972
"Anguera Llovera, Andrea Avelina",1975
"Antón, Remedios Carmen",1951
"Ara Sarradell, María",p.1968
"Aranda, Pilar",1973
"Arregui, Romana",1944
"Arsalaguet Comas, María Rosa",1944
"Bardasano, Juana Francisca de","1935,1937"
"Bassas Carrera, Montserrat",1944
"Bazo Cunchillos, Adela",1945
"Bedós García-Ciaño, María Teresa",1980
"Bonay, Federica",1944
"Brockmann, Elena","1857,op.c.1895"
"Casanova Puigserinall, Montserrat",1952
"Castillo Nicolau, María Eulalia del",1944
"Clar, Tina",1951
"Clará, Arcisa",1894
"Collis Ammirato, María",1951
"Costa Pujol, Joaquima (or Joaquina)",1951
"Davit, Susana (or Suzanne)",1951
"Daza, Milagros (or Milagro)","1948,1951"
"Delsors Mangrané, Manuela",1948
"Fábregas Puig, Teresa",1968
"Fargas, Montserrat",1945
"Farrés Andrés, Teresa",1978
"Fereal, Carlota","1901,1910"
"Fernández de Guigo, Eva",1951
"Ferres Puig, María",1945
"Fiter de Sarriera, María",1944
"Frau, Margarita",1973
"Galí Mallofré, Gertrudis",1979
"Gallego, Concha",1899
"Gámez, Luisa",1882
"Garay de Flórez, Elisa",1887
"Garcés de Marcilla, Inés","1845,1846"
"García Alsina, María",1894
"García de Arredondo, Carmen","1895,1906"
"García de Giner, Laura","1894,1901"
"García de Giralt, María","1893,1898"
"García de la Cruz, Encarnación",1895
"García de Michelena, Amalia","1854,1856"
"García Valenzuela, María Josefa",1973
"García, Adela","1884,1901"
"García, Carolina","1856,1864"
"García, Josefa","1856,1864"
"García, Juana","1856,1864"
"Garrido y Agudo, María de la Soledad","1876,1878"
"Gasset Ros, Lidia",1898
"Gasull, María",1894
"Gatuellas Ferrer, María","1920,1921"
"Gil Sanz Arévalo, Teresa",1906
"Gil, Catalina",1871
"Gisbert, J.G.",1894
"Gispert Sandoval, Elia",1898
"Godoy, Elisa","1860,1879"
"Gómez Astorga, Concepción",1892
"Gómez Cotolí, María","1895,1908"
"Gómez de la Cortina, Joaquina",1858
"Gómez Montaner, Encarnació",1924
"Gómez, Antonia","1860,1862"
"Gómez, Guillermina",1927
"Gonnella Griore, Adela",1898
"Gonzalbo Murillo, Fe",1892
"González Martínez, Concepción","1906,1908"
"González Valls, Inés","1845,1846"
"González Vilart, Angeles",1922
"Gorgas de Martínez, Francesca (or Francisca)","1896,1898"
"Gorgas, Aurora",1898
"Gosch Boix, Mercè (or Mercedes)",1894
"Gosé Galí, Dolors (or Dolores)",1898
"Goyena, Manuela",1868
"Grases, Eulalia",1926
"Gresa Camps, Rosa",1894
"Gumucio y Grinda, Josefa","1848,1856"
"Gutiérrez Larraya, Aurora",1906
"Gutiérrez, María de los Dolores","1858,doc.1861"
"Halcón, María de los Dolores",1868
"Haro, Dolores de","1881,1882"
"Hermoso, Filomena",1868
"Hernández de Alba y Ferrer, Emilia","1887,1897"
"Hernández de Terán, Olimpia",1884
"Hernández, Filomena",1887
"Herrera y Cores, Dolores","1858,1868"
"Illing Trumpke, Eva",1944
"Izquierdo, Elena","1878,1881"
"Ladrón de Guevara, ?",1850
"Laffite y Grande, Honorina","1906,1910"
"Laiglesia de Gamero, Dolores","1878,1899"
"Laiglesia, Amelia R. de","1899,1901"
"Lamas y Cuadrado, Asunción",1868
"Lambla, Fany",1876
"Leigonier, Enriqueta","1858,1861"
"Lengo, Clara","1881,1882"
"Lerdo de Tejada, Mercedes",1858
"Leza y Agort, Irene",1895
"López Castrillo, Flora","1910,1912"
"López del Baño y Diosdado, Josefa",1878
"López Díaz, María","1908,1912"
"López Fernández, Julia",1892
"López González, Luisa","1895,1904"
"López Salzillo, Emilia","1884,1890"
"López San Román, Romana",1825
"Lostau Espinet, Teresa",1911
"Lozano Capellán de Casado, Mercedes","1897,1910"
"Luna, Petra",1883
"Madasín, Teresa","1876,1890"
"Martí Sancho, Maria",1951
"Matilla Alonso, Nicanora","1879,doc.1887"
"Maurer, Juana",1927
"Mayor de González, Dolores",1879
"Medina Castro, Elvira",1951
"Medina, Antonia",1894
"Menassade, Emilia (or Emile, or Emilie)",1893
"Mendeville de Flórez, María","1882,1884"
"Mexía y Sales, Casilda","1873,1887"
"Milla, Josefa","1840,1843"
"Millán Pérez, Milagros",1895
"Mínguez Rico, Angela",1950
"Miqueo Francés, María","1894,1898"
"Mir Trinxet, Joana (or Juana)",1894
"Mir, Rosa",1898
"Mira, María",1951
"Miranda, Inés",1883
"Miret y González, Enriqueta","1876,1895"
"Miró Amérigo, Concepció (or Concepción)",1882
"Mogas Llupià, Rosa",1944
"Monclar, María Teresa",1922
"Montañés Criquillón, Alicia",1898
"Montero Paullier, Paulina",1918
"Montesinos y Espartero, Virginia",1882
"Montilla Casal, Concepción",1910
"Mora de Falcón, Leticia",1919
"Moreno, María de la Luz",1839
"Moreno, María de la Purificación","1871,1892"
"Moreno, Victoria",1842
"Morera Camps, Maria",1912
"Munárriz, María Josefa",1832
"Muñíz, Juana","1882,1884"
"Muñoz Calixto, Dolors",1920
"Muñoz de Cacho, Manuela","1860,1862"
"Murguiro, Adela de",1887
"Murillo y Bravo de Vela, Josefa","1860,1899"
