"Alberich Escardívol, Montserrat (or Monserrat)",1912,1946
"Alvarez Coll, Miquelina",1934,1934
"Alvear Fernández, Luz de",1929,1972
"Anguera Llovera, Andrea Avelina",1916,1975
"Antón, Remedios Carmen",1925,1951
"Ara Sarradell, María",1932,p.1968
"Aranda, Pilar",1914,1973
"Arregui, Romana",1875,1944
"Arsalaguet Comas, María Rosa",1922,1944
"Bardasano, Juana Francisca de",1935-1937,1935-1937
"Bassas Carrera, Montserrat",1913,1944
"Bazo Cunchillos, Adela",1945,1945
"Bedós García-Ciaño, María Teresa",1907,1980
"Bonay, Federica",1877,1944
"Brockmann, Elena",1857-op.c.1895,1857-op.c.1895
"Casanova Puigserinall, Montserrat",1909,1952
"Castillo Nicolau, María Eulalia del",1925,1944
"Clar, Tina",1936,1951
"Clará, Arcisa",1894,1894
"Collis Ammirato, María",1951,1951
"Costa Pujol, Joaquima (or Joaquina)",1905,1951
"Davit, Susana (or Suzanne)",1899,1951
"Daza, Milagros (or Milagro)",1948-1951,1948-1951
"Delsors Mangrané, Manuela",1918,1948
"Fábregas Puig, Teresa",1901,1968
"Fargas, Montserrat",1904,1945
"Farrés Andrés, Teresa",1926,1978
"Fereal, Carlota",1901-1910,1901-1910
"Fernández de Guigo, Eva",1911,1951
"Ferres Puig, María",1878,1945
"Fiter de Sarriera, María",1914,1944
"Frau, Margarita",1898,1973
"Galí Mallofré, Gertrudis",1912,1979
"Gallego, Concha",1899,1899
"Gámez, Luisa",1882,1882
"Garay de Flórez, Elisa",1887,1887
"Garcés de Marcilla, Inés",1845-1846,1845-1846
"García Alsina, María",1894,1894
"García de Arredondo, Carmen",1895-1906,1895-1906
"García de Giner, Laura",1894-1901,1894-1901
"García de Giralt, María",1893-1898,1893-1898
"García de la Cruz, Encarnación",1895,1895
"García de Michelena, Amalia",1854-1856,1854-1856
"García Valenzuela, María Josefa",1912,1973
"García, Adela",1884-1901,1884-1901
"García, Carolina",1856-1864,1856-1864
"García, Josefa",1856-1864,1856-1864
"García, Juana",1856-1864,1856-1864
"Garrido y Agudo, María de la Soledad",1876-1878,1876-1878
"Gasset Ros, Lidia",1898,1898
"Gasull, María",1894,1894
"Gatuellas Ferrer, María",1920-1921,1920-1921
"Gil Sanz Arévalo, Teresa",1906,1906
"Gil, Catalina",1871,1871
"Gisbert, J.G.",1894,1894
"Gispert Sandoval, Elia",1898,1898
"Godoy, Elisa",1860-1879,1860-1879
"Gómez Astorga, Concepción",1892,1892
"Gómez Cotolí, María",1895-1908,1895-1908
"Gómez de la Cortina, Joaquina",1858,1858
"Gómez Montaner, Encarnació",1877,1924
"Gómez, Antonia",1860-1862,1860-1862
"Gómez, Guillermina",1927,1927
"Gonnella Griore, Adela",1898,1898
"Gonzalbo Murillo, Fe",1892,1892
"González Martínez, Concepción",1906-1908,1906-1908
"González Valls, Inés",1845-1846,1845-1846
"González Vilart, Angeles",1922,1922
"Gorgas de Martínez, Francesca (or Francisca)",1896-1898,1896-1898
"Gorgas, Aurora",1898,1898
"Gosch Boix, Mercè (or Mercedes)",1894,1894
"Gosé Galí, Dolors (or Dolores)",1898,1898
"Goyena, Manuela",1868,1868
"Grases, Eulalia",1926,1926
"Gresa Camps, Rosa",1894,1894
"Gumucio y Grinda, Josefa",1848-1856,1848-1856
"Gutiérrez Larraya, Aurora",1906,1920
"Gutiérrez, María de los Dolores",1858-doc.1861,1858-doc.1861
"Halcón, María de los Dolores",1868,1868
