RECN,AUN,MUS,TI,ATI,PG,ED,SR,CT,COM,PL,YR,DATE,OY,VOL,NUM,EN,CODE,CITE,GCITE,VO,NOTE,XN,PER,CAT,EX,TR,SC,FE,DI,DIU,ROYAL,COMMIT,CALL,MSG,STAMP,UPN,SORTN,SORT2N,LCITE,BIB,recid,GCITE2,firsttwo,FirstLetter
2,"Chueca Goitia, F.",,Arquitectura del siglo XVI,,,,"Ars Hispaniae, vol.11",,,Madrid,1953,,,,,,ARS11,"Chueca Goitia, 1953, p.","Chueca Goitia, 1953",,"seen.1.23.91.fma   Checked: IJR, 5/14/91, EW 5/23/91",,,,,,,,,,,,,A B C E G H I J M1 O P T V,MPI |D 1990 03 07 |T 12:06:50,FMA |D 1991 01 23 |T 09:25:35,,,"Chueca Goitia, F.  Arquitectura del siglo XVI.  Ars Hispaniae, vol.11.  Madrid, 1953.","Chueca Goitia, F.  Arquitectura del siglo XVI.  Ars Hispaniae, vol.11.  Madrid, 1953.",2,"Chueca Goitia, 1953",Chueca Goitia,C
3,"Kubler, G., and M.[S.] Soria.",,"Art and Architecture in Spain and Portugal and Their American Dominions, 1500-1800",,,,The Pelican History of Art,,,Harmondsworth and Baltimore,1959,,,,,,KUSO,"Kubler and Soria, 1959, p.","Kubler and Soria, 1959",,Checked: EW 8/1/91 // IJR 9/25/91        9.27.93.fma,,,,,,,,,,General,,803 K951,B C F G I J L M1 M3 M4 N P R,EW |D 1991 08 01 |T 09:35:33,EW |D 1991 08 01 |T 09:35:33,,,"Kubler, G., and M.[S.] Soria.  Art and Architecture in Spain and Portugal and Their American Dominions, 1500-1800.  The Pelican History of Art.  Harmondsworth and Baltimore, 1959.","Kubler, G., and M.[S.] Soria.  Art and Architecture in Spain and Portugal and Their American Dominions, 1500-1800.  The Pelican History of Art.  Harmondsworth and Baltimore, 1959.",3,"Kubler and Soria, 1959",Kubler and,K
4,"Palomino [de Castro y Velasco], A.A.",,Vidas [de los pintores y estatuarios eminentes españoles],,,,,Ed.,N.A. Mallory,Madrid,1986,,1724,,,,PALO86,"Palomino, Vidas, [1724] ed.1986, p.","Palomino, Vidas, [1724] ed.1986",,"Checked: IJR, 5/21/91, EW 5/23/91   seen.5.19.92.fma",,,,,,,,,,General,,802 P18 vm,A B C E F G H I J L M1 M3 M4 N P R S T V Y Z,USER3 |D 1989 04 18 |T 10:16:32,FMA |D 1990 08 14 |T 12:42:27,,,"Palomino [de Castro y Velasco], A.A.  Vidas [de los pintores y estatuarios eminentes españoles].  1724.  Ed. N.A. Mallory.  Madrid, 1986.","Palomino [de Castro y Velasco], A.A.  Vidas [de los pintores y estatuarios eminentes españoles].  1724.  Ed. N.A. Mallory.  Madrid, 1986.",4,"Palomino, Vidas, [1724] ed.1986","Palomino, Vidas",P
5,"Ceán Bermúdez, J.A.",,Diccionario histórico de los más ilustres profesores de las bellas artes en España,,,,,,,Madrid,1800,,,,,,CEBER,"Ceán Bermúdez, 1800.","Ceán Bermúdez, 1800",6 vols.,"Checked: IJR, 5/13/91; EW 5/23/91        seen.7.5.91.fma",,,,,,,,,,,,,A B C D E F G H I J L M1 M3 M4 N O P R S T U V Y Z,USER3 |D 1989 04 18 |T 10:22:48,MJO |D 1989 07 25 |T 12:24:01,,,"Ceán Bermúdez, J.A.  Diccionario histórico de los más ilustres profesores de las bellas artes en España.  6 vols.  Madrid, 1800.","Ceán Bermúdez, J.A.  Diccionario histórico de los más ilustres profesores de las bellas artes en España.  6 vols.  Madrid, 1800.",5,"Ceán Bermúdez, 1800",Ceán Bermúdez,C
6,"Viñaza, Conde de la  [C. Muñoz y Manzano].",,Adiciones al diccionario histórico de los más ilustres profesores de las bellas artes en España de Don Juan Agustín Ceán Bermúdez,,,,,,,Madrid,1889-1894,,,,,,VINA,"Viñaza, v. , 18  , p.","Viñaza, 1889-1894",4 vols.,"Checked: EW; IJR, 5/22/91",,,,,,,,,,General,,,A B C D E F G H I J L M1 M3 M4 N O P R S T V,USER3 |D 1989 04 18 |T 10:28:46,FMA |D 1990 08 15 |T 12:49:07,,"vinzaza, conde de la1889","Viñaza, Conde de la  [C. Muñoz y Manzano].  Adiciones al diccionario histórico de los más ilustres profesores de las bellas artes en España de Don Juan Agustín Ceán Bermúdez.  4 vols.  Madrid, 1889-1894.","Viñaza, Conde de la  [C. Muñoz y Manzano].  Adiciones al diccionario histórico de los más ilustres profesores de las bellas artes en España de Don Juan Agustín Ceán Bermúdez.  4 vols.  Madrid, 1889-1894.",6,"Viñaza, 1889-1894","Viñaza, 1889-1894",V
7,"Zarco del Valle, M.R., comp.",,Documentos inéditos para la historia de las bellas artes en España,,,,,,,Madrid,1870,,,,,,ZARVA70,"Zarco del Valle, 1870, p.","Zarco del Valle, 1870",,Checked: EW 7/19/91 // IJR 5/20/92   seen.5.20.92.fma,,,,,,,,,,General,,803 za1,C E G H J M1 O,USER3 |D 1989 04 18 |T 10:53:37,MPI |D 1990 08 02 |T 13:15:34,,,"Zarco del Valle, M.R., comp.  Documentos inéditos para la historia de las bellas artes en España.  Madrid, 1870.","Zarco del Valle, M.R., comp.  Documentos inéditos para la historia de las bellas artes en España.  Madrid, 1870.",7,"Zarco del Valle, 1870",Zarco del,Z
8,"Gaya Nuño, J.A.",,La pintura española fuera de España (historia y catálogo),,,,,,,Madrid,1958,,,,,,GANUPIN,"Gaya Nuño, Pintura, 1958, p.","Gaya Nuño, Pintura, 1958",,"Checked: IJR, 5/17/91, EW 5/23/91        seen.5.2.94.fma",,,,,,,,,,General,,810 G254a,A C D G J L M1 M2 M3 P R S T V,FMA |D 1989 10 05 |T 08:37:08,FMA |D 1990 08 13 |T 09:10:54,pi,,"Gaya Nuño, J.A.  La pintura española fuera de España (historia y catálogo).  Madrid, 1958.","Gaya Nuño, J.A.  La pintura española fuera de España (historia y catálogo).  Madrid, 1958.",8,"Gaya Nuño, Pintura, 1958",Gaya Nuño,G
9,"Ráfols, J.F., et al.",,"Diccionario biográfico de artistas de Cataluña, desde la época romana hasta nuestros días",,,,,,,Barcelona,1951-1954,,,,,,RAFOLS,"Ráfols, Diccionario, v. , 19  .","Ráfols, Diccionario, 1951-1954",3 vols.,"Checked: IJR, 5/21/91  EW 6/28/91   seen.1.31.95.fma",,,,,,,,,,General - Regional,,,A B C D E F G H I J L M1 M2 M3 M4 N O P Q R S T V,FMA |D 1989 10 05 |T 08:37:08,KS |D 1990 05 17 |T 12:18:03,,,"Ráfols, J.F., et al.  Diccionario biográfico de artistas de Cataluña, desde la época romana hasta nuestros días.  3 vols.  Barcelona, 1951-1954.","Ráfols, J.F., et al.  Diccionario biográfico de artistas de Cataluña, desde la época romana hasta nuestros días.  3 vols.  Barcelona, 1951-1954.",9,"Ráfols, Diccionario, 1951-1954","Ráfols, Diccionario",R
10,"Gudiol i Cunill, J.",,Els primitius,,,,La pintura mig-eval catalana,,,Barcelona,1927-1929,,,,,,GUCU,"Gudiol i Cunill, pt. , 192 , p.","Gudiol i Cunill, 1927-1929",1 vol. in 2 pts.,"Checked: IJR, 5/17/91, EW 5/23/91",,,,,,,,,,General - Regional,,810 Sa5p,A B,KS |D 1989 04 19 |T 15:11:10,FMA |D 1990 08 20 |T 15:40:16,,,"Gudiol i Cunill, J.  Els primitius.  La pintura mig-eval catalana.  1 vol. in 2 pts.  Barcelona, 1927-1929.","Gudiol i Cunill, J.  Els primitius.  La pintura mig-eval catalana.  1 vol. in 2 pts.  Barcelona, 1927-1929.",10,"Gudiol i Cunill, 1927-1929",Gudiol i,G
11,,,Historia del arte valenciano,,,,,Ed.,V. Aguilera Cerni,Valencia,1986-1989,,,,,,HISARVA,"Historia del arte valenciano, v. , 198 , p.","Historia del arte valenciano, 1986-1989",6 vols.,"at FARL, v.1-3, 5-6.  Checked: IJR, 5/14/91-- seen.5.24.91.fma EW 6/27/91   [vol.4 photocopy]",,,,,,,,,,General - Regional,,,A B C D E F G H I J L M1 M3 M4 N O P R S T V,KS |D 1989 04 19 |T 15:31:24,EVA |D 1990 03 22 |T 09:48:27,,,"Historia del arte valenciano.  6 vols.  Ed. V. Aguilera Cerni. Valencia, 1986-1989.","Historia del arte valenciano.  6 vols.  Ed. V. Aguilera Cerni. Valencia, 1986-1989.",11,"Historia del arte valenciano, 1986-1989",Historia del,H
